제품명,제조사,카테고리1,카테고리2,표준중량/규격
롤링바,기타제조사,과자,아이스크림,70g
롯데트레이레몬,롯데웰푸드,과자,스낵,500g
롯데파인애플벌크,롯데웰푸드,과자,스낵,315g
롯샌파이앤플,기타제조사,과자,스낵,105g
롯샌파인애플,롯데웰푸드,과자,비스킷/쿠키,105g
롯샌파인애플벌크,기타제조사,과자,스낵,315g
리치치즈샌드,크라운제과,과자,비스킷/쿠키,45g
마가렛트,롯데웰푸드,과자,비스킷/쿠키,176g
마가렛트(大),롯데웰푸드,과자,스낵,70g
마가렛트(小),롯데웰푸드,과자,스낵,70g
마린보이,오리온,과자,스낵,40g
마이구미포도,오리온,과자,젤리/캔디,66g
마이쮸딸기,크라운제과,과자,젤리/캔디,44gx15
마이쮸딸기+사과트위스트,크라운제과,과자,젤리/캔디,288g
마이쮸사과,크라운제과,과자,젤리/캔디,44gx15
마이쮸애플망고,크라운제과,과자,젤리/캔디,44gx15
마이쮸자일리톨딸기,크라운제과,과자,젤리/캔디,110g
마이쮸자일리톨복숭아,크라운제과,과자,젤리/캔디,110g
마이쮸자일리톨사과,크라운제과,과자,젤리/캔디,110g
마이쮸자일리톨포도,크라운제과,과자,젤리/캔디,110g
마이쮸포도,크라운제과,과자,젤리/캔디,44gx15
마이쮸포도+복숭아트위스트,크라운제과,과자,젤리/캔디,288g
마이쮸핑크리치,크라운제과,과자,젤리/캔디,44gx15
말랑카우딸기,롯데웰푸드,과자,젤리/캔디,79g
말랑카우밀크,롯데웰푸드,과자,젤리/캔디,79g
맛동산,해태제과,과자,스낵,90g
맛동산8팩,해태제과,과자,스낵,304g
맛동산밤라떼맛,기타제조사,음료,음료수,290ml
망고바,롯데웰푸드,과자,아이스크림,80g
망고캔,해태htb,음료,과채음료,240ml
매일요구르트로어슈거,기타제조사,과자,스낵,280g
매일요구르트오어슈거,기타제조사,과자,스낵,70g
먹태깡청양마요맛,농심,과자,스낵,60g
메가톤,롯데웰푸드,과자,아이스크림,70g
메론케이크샌드,기타제조사,과자,스낵,70g
메밀면,기타제조사,과자,스낵,70g
명가찰떡초코,롯데웰푸드,과자,초콜릿/떡,350g
몽쉘오리지날,롯데웰푸드,과자,비스킷/케이크,204g
몽쉘카카오,롯데웰푸드,과자,비스킷/케이크,204g
몽쉘크림,롯데웰푸드,과자,비스킷/케이크,204g
물엿,기타제조사,과자,스낵,70g
미국용초코파이바나나,오리온,과자,아이스크림,336g
미니자유시간,해태제과,과자,초콜릿,180g
미림,롯데칠성음료,식품,조미료/맛술,1.8kg
밀강정,크라운제과,과자,스낵,80g
밀싹보리차,기타제조사,음료,음료수,500ml
밀키스,롯데칠성음료,음료,탄산음료,1.5L
밀키스(내수용),롯데칠성음료,음료,탄산음료,250ml
밀키스(미주용),롯데칠성음료,음료,탄산음료,250ml
밀키스(캐나다용),롯데칠성음료,음료,탄산음료,250ml
밀키스(호주용),롯데칠성음료,음료,음료수,250ml
밀키스딸기,롯데칠성음료,음료,음료수,250ml
밀키스멜론,롯데칠성음료,음료,음료수,250ml
밀키스복숭아,롯데칠성음료,음료,탄산음료,250ml
밀키스제로,롯데칠성음료,음료,탄산음료,250ml
바나나킥,농심,과자,스낵,75g
바베큐맛스낵,기타제조사,과자,아이스크림,100g
바삭한올모짜핫도그,기타제조사,과자,아이스크림,400g
바이오생과즙,매일유업,음료,유제품/요구르트,99ml
바이오생우유,매일유업,음료,유제품/우유,99ml
바이오필스트로베리,매일유업,음료,유제품/요구르트,63mlx25
바이오필파인애플,매일유업,음료,유제품/요구르트,63mlx25
