item_code,item_name,manufacturer_id,manufacturer_name,category_1,category_2,volume_value,volume_unit,standard_volume,default_pack_qty,difficulty_tier,benchmark_speed_hr
ITM-0096,땅콩카라멜,MFG-006,크라운제과,과자,젤리/캔디,120,g,120g,16,중난이도 (16~31개),434.2
ITM-0097,떳다떡볶이스낵,MFG-002,해태제과,과자,스낵,105,g,105g,22,중난이도 (16~31개),460.4
ITM-0098,떳다왕짱,MFG-002,해태제과,과자,스낵,220,g,220g,16,중난이도 (16~31개),457.1
ITM-0099,레츠비마일드,MFG-008,롯데칠성음료,음료,커피음료,175,ml,175ml,30,중난이도 (16~31개),382.1
ITM-0100,레츠비모카라떼,MFG-008,롯데칠성음료,음료,커피음료,175,ml,175ml,16,중난이도 (16~31개),180.0
ITM-0101,레츠비카페타임라떼,MFG-008,롯데칠성음료,음료,커피음료,240,ml,240ml,30,중난이도 (16~31개),532.3
ITM-0102,롤리팝아이스,MFG-001,롯데웰푸드,과자,젤리/캔디,132,g,132g,14,저난이도 (16개 미만),411.8
ITM-0103,롤리폴리,MFG-002,해태제과,과자,비스킷/쿠키,62,g,62g,19,중난이도 (16~31개),378.6
ITM-0104,롯샌파인애플,MFG-001,롯데웰푸드,과자,비스킷/쿠키,105,g,105g,30,중난이도 (16~31개),529.0
ITM-0105,리치치즈샌드,MFG-006,크라운제과,과자,비스킷/쿠키,45,g,45g,24,중난이도 (16~31개),320.0
ITM-0106,마가렛트,MFG-001,롯데웰푸드,과자,비스킷/쿠키,176,g,176g,12,저난이도 (16개 미만),483.5
ITM-0107,마린보이,MFG-005,오리온,과자,스낵,40,g,40g,30,중난이도 (16~31개),505.2
ITM-0108,마이구미포도,MFG-005,오리온,과자,젤리/캔디,66,g,66g,16,중난이도 (16~31개),180.0
ITM-0109,마이쮸딸기,MFG-006,크라운제과,과자,젤리/캔디,44,15입 번들,44x15,16,중난이도 (16~31개),180.0
ITM-0110,마이쮸사과,MFG-006,크라운제과,과자,젤리/캔디,44,15입 번들,44x15,16,중난이도 (16~31개),180.0
ITM-0111,마이쮸애플망고,MFG-006,크라운제과,과자,젤리/캔디,44,15입 번들,44x15,120,고난이도 (32개 이상),400.0
ITM-0112,마이쮸자일리톨딸기,MFG-006,크라운제과,과자,젤리/캔디,110,g,110g,16,중난이도 (16~31개),180.0
ITM-0113,마이쮸자일리톨복숭아,MFG-006,크라운제과,과자,젤리/캔디,110,g,110g,24,중난이도 (16~31개),436.4
ITM-0114,마이쮸자일리톨포도,MFG-006,크라운제과,과자,젤리/캔디,110,g,110g,16,중난이도 (16~31개),180.0
ITM-0115,마이쮸포도,MFG-006,크라운제과,과자,젤리/캔디,44,15입 번들,44x15,16,중난이도 (16~31개),180.0
ITM-0116,마이쮸핑크리치,MFG-006,크라운제과,과자,젤리/캔디,44,15입 번들,44x15,83,고난이도 (32개 이상),427.9
ITM-0117,말랑카우딸기,MFG-001,롯데웰푸드,과자,젤리/캔디,79,g,79g,16,중난이도 (16~31개),180.0
ITM-0118,말랑카우밀크,MFG-001,롯데웰푸드,과자,젤리/캔디,79,g,79g,16,중난이도 (16~31개),180.0
ITM-0119,맛동산,MFG-002,해태제과,과자,스낵,90,g,90g,13,저난이도 (16개 미만),448.6
ITM-0120,맛동산8팩,MFG-002,해태제과,과자,스낵,304,g,304g,8,저난이도 (16개 미만),521.7
ITM-0121,망고바,MFG-001,롯데웰푸드,과자,아이스크림,80,g,80g,40,고난이도 (32개 이상),571.4
ITM-0122,망고캔,MFG-014,해태htb,음료,과채음료,240,ml,240ml,30,중난이도 (16~31개),433.2
ITM-0123,먹태깡청양마요맛,MFG-009,농심,과자,스낵,60,g,60g,16,중난이도 (16~31개),180.0
ITM-0124,메가톤,MFG-001,롯데웰푸드,과자,아이스크림,70,g,70g,40,고난이도 (32개 이상),483.9
ITM-0125,명가찰떡초코,MFG-001,롯데웰푸드,과자,초콜릿/떡,350,g,350g,8,저난이도 (16개 미만),440.0
ITM-0126,몽쉘오리지날,MFG-001,롯데웰푸드,과자,비스킷/케이크,204,g,204g,16,중난이도 (16~31개),180.0
ITM-0127,몽쉘카카오,MFG-001,롯데웰푸드,과자,비스킷/케이크,204,g,204g,16,중난이도 (16~31개),180.0
ITM-0128,몽쉘크림,MFG-001,롯데웰푸드,과자,비스킷/케이크,204,g,204g,16,중난이도 (16~31개),457.1
ITM-0129,미니자유시간,MFG-002,해태제과,과자,초콜릿,180,g,180g,16,중난이도 (16~31개),180.0
ITM-0130,미림,MFG-008,롯데칠성음료,식품,조미료/맛술,1.8,kg,1.8kg,11,저난이도 (16개 미만),458.8
ITM-0131,밀강정,MFG-006,크라운제과,과자,스낵,80,g,80g,20,중난이도 (16~31개),513.7
ITM-0132,밀키스,MFG-008,롯데칠성음료,음료,탄산음료,1.5,L,1.5L,16,중난이도 (16~31개),360.7
ITM-0133,밀키스(내수용),MFG-008,롯데칠성음료,음료,탄산음료,250,ml,250ml,30,중난이도 (16~31개),428.6
ITM-0134,밀키스(미주용),MFG-008,롯데칠성음료,음료,탄산음료,250,ml,250ml,30,중난이도 (16~31개),420.4
ITM-0135,밀키스(캐나다용),MFG-008,롯데칠성음료,음료,탄산음료,250,ml,250ml,30,중난이도 (16~31개),656.7
ITM-0136,밀키스복숭아,MFG-008,롯데칠성음료,음료,탄산음료,250,ml,250ml,30,중난이도 (16~31개),358.7
ITM-0137,밀키스제로,MFG-008,롯데칠성음료,음료,탄산음료,250,ml,250ml,30,중난이도 (16~31개),358.7
ITM-0138,바나나킥,MFG-009,농심,과자,스낵,75,g,75g,20,중난이도 (16~31개),403.2
ITM-0139,바이오생과즙,MFG-013,매일유업,음료,유제품/요구르트,99,ml,99ml,14,저난이도 (16개 미만),466.7
ITM-0140,바이오생우유,MFG-013,매일유업,음료,유제품/우유,99,ml,99ml,16,중난이도 (16~31개),180.0
